% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = -1, 2-2 = 1
% Controller 1: PI controller: proportional gain +17.1 dB, integrator crossover 482.9 Hz, input offset 0.000 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.1 Hz, integrator saturation +40.2 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-05-22 T 17:34:27 -0700
% Time (s), Probe A (V), Probe B (V)
0.0000000000e+00, 3.0561205160e+00, 5.0022899365e+00
3.3331200000e-04, 3.0559961114e+00, 5.0022899365e+00
6.6662400000e-04, 3.0555854940e+00, 5.0022899365e+00
9.9993600000e-04, 3.0546568561e+00, 5.0022899365e+00
1.3332480000e-03, 3.0552999847e+00, 5.0022899365e+00
1.6665600000e-03, 3.0552704372e+00, 5.0022899365e+00
1.9998720000e-03, 3.0549666366e+00, 5.0022899365e+00
2.3331840000e-03, 3.0546862864e+00, 5.0022899365e+00
2.6664960000e-03, 3.0546207424e+00, 5.0022899365e+00
2.9998080000e-03, 3.0547118474e+00, 5.0022899365e+00
3.3331200000e-03, 3.0541131574e+00, 5.0022899365e+00
3.6664320000e-03, 3.0538692727e+00, 5.0022899365e+00
3.9997440000e-03, 3.0536520043e+00, 5.0022899365e+00
4.3330560000e-03, 3.0528937340e+00, 5.0022899365e+00
4.6663680000e-03, 3.0529717068e+00, 5.0022899365e+00
4.9996800000e-03, 3.0525230996e+00, 5.0022899365e+00
5.3329920000e-03, 3.0525793807e+00, 5.0022899365e+00
5.6663040000e-03, 3.0519897191e+00, 5.0022899365e+00
5.9996160000e-03, 3.0510236778e+00, 5.0022899365e+00
6.3329280000e-03, 3.0494327993e+00, 5.0022899365e+00
6.6662400000e-03, 3.0466516931e+00, 5.0022899365e+00
6.9995520000e-03, 3.0444786571e+00, 5.0022899365e+00
7.3328640000e-03, 3.0419657068e+00, 5.0022899365e+00
7.6661760000e-03, 3.0467155956e+00, 5.0022899365e+00
7.9994880000e-03, 3.0520273571e+00, 5.0022899365e+00
8.3328000000e-03, 3.0525864158e+00, 5.0022899365e+00
8.6661120000e-03, 3.0531881544e+00, 5.0022899365e+00
8.9994240000e-03, 3.0535668792e+00, 5.0022899365e+00
9.3327360000e-03, 3.0544245794e+00, 5.0022899365e+00
9.6660480000e-03, 3.0541131574e+00, 5.0022899365e+00
9.9993600000e-03, 3.0541167922e+00, 5.0022899365e+00
1.0332672000e-02, 3.0543564559e+00, 5.0022899365e+00
1.0665984000e-02, 3.0544044120e+00, 5.0022899365e+00
1.0999296000e-02, 3.0541524369e+00, 5.0022899365e+00
1.1332608000e-02, 3.0539860560e+00, 5.0022899365e+00
1.1665920000e-02, 3.0541170268e+00, 5.0022899365e+00
1.1999232000e-02, 3.0541178475e+00, 5.0022899365e+00
1.2332544000e-02, 3.0544181305e+00, 5.0022899365e+00
1.2665856000e-02, 3.0545707930e+00, 5.0022899365e+00
1.2999168000e-02, 3.0543287843e+00, 5.0022899365e+00
1.3332480000e-02, 3.0543297223e+00, 5.0022899365e+00
1.3665792000e-02, 3.0542844630e+00, 5.0022899365e+00
1.3999104000e-02, 3.0553314083e+00, 5.0022899365e+00
1.4332416000e-02, 3.0559732472e+00, 5.0022899365e+00
1.4665728000e-02, 3.0572339434e+00, 5.0022899365e+00
1.4999040000e-02, 3.0598126722e+00, 5.0022899365e+00
1.5332352000e-02, 3.0624216520e+00, 5.0022899365e+00
1.5665664000e-02, 3.0649322573e+00, 5.0022899365e+00
1.5998976000e-02, 3.0613715409e+00, 5.0022899365e+00
1.6332288000e-02, 3.0565223395e+00, 5.0022899365e+00
1.6665600000e-02, 3.0562458587e+00, 5.0022899365e+00
1.6998912000e-02, 3.0557267829e+00, 5.0022899365e+00
1.7332224000e-02, 3.0558033486e+00, 5.0022899365e+00
1.7665536000e-02, 3.0556410715e+00, 5.0022899365e+00
1.7998848000e-02, 3.0558735827e+00, 5.0022899365e+00
1.8332160000e-02, 3.0557441363e+00, 5.0022899365e+00
1.8665472000e-02, 3.0555348410e+00, 5.0022899365e+00
1.8998784000e-02, 3.0556298153e+00, 5.0022899365e+00
1.9332096000e-02, 3.0565471969e+00, 5.0022899365e+00
1.9665408000e-02, 3.0548862015e+00, 5.0022899365e+00
1.9998720000e-02, 3.0552485110e+00, 5.0022899365e+00
2.0332032000e-02, 3.0550339394e+00, 5.0022899365e+00
2.0665344000e-02, 3.0549951289e+00, 5.0022899365e+00
2.0998656000e-02, 3.0545387831e+00, 5.0022899365e+00
2.1331968000e-02, 3.0544419327e+00, 5.0022899365e+00
2.1665280000e-02, 3.0540881827e+00, 5.0022899365e+00
2.1998592000e-02, 3.0540550003e+00, 5.0022899365e+00
2.2331904000e-02, 3.0534532618e+00, 5.0022899365e+00
2.2665216000e-02, 3.0521096682e+00, 5.0022899365e+00
2.2998528000e-02, 3.0505437644e+00, 5.0022899365e+00
2.3331840000e-02, 3.0477830601e+00, 5.0022899365e+00
2.3665152000e-02, 3.0448873984e+00, 5.0022899365e+00
2.3998464000e-02, 3.0432836221e+00, 5.0022899365e+00
2.4331776000e-02, 3.0466038542e+00, 5.0022899365e+00
2.4665088000e-02, 3.0527279393e+00, 5.0022899365e+00
2.4998400000e-02, 3.0534099957e+00, 5.0022899365e+00
2.5331712000e-02, 3.0541647484e+00, 5.0022899365e+00
2.5665024000e-02, 3.0541853848e+00, 5.0022899365e+00
2.5998336000e-02, 3.0548094013e+00, 5.0022899365e+00
2.6331648000e-02, 3.0544277452e+00, 5.0022899365e+00
2.6664960000e-02, 3.0544910614e+00, 5.0022899365e+00
2.6998272000e-02, 3.0547252142e+00, 5.0022899365e+00
2.7331584000e-02, 3.0545731380e+00, 5.0022899365e+00
2.7664896000e-02, 3.0544207101e+00, 5.0022899365e+00
2.7998208000e-02, 3.0544894199e+00, 5.0022899365e+00
2.8331520000e-02, 3.0545356173e+00, 5.0022899365e+00
2.8664832000e-02, 3.0546907420e+00, 5.0022899365e+00
2.8998144000e-02, 3.0554194648e+00, 5.0022899365e+00
2.9331456000e-02, 3.0547021155e+00, 5.0022899365e+00
2.9664768000e-02, 3.0543709951e+00, 5.0022899365e+00
2.9998080000e-02, 3.0538011492e+00, 5.0022899365e+00
3.0331392000e-02, 3.0536219877e+00, 5.0022899365e+00
3.0664704000e-02, 3.0540973284e+00, 5.0022899365e+00
3.0998016000e-02, 3.0547242762e+00, 5.0022899365e+00
3.1331328000e-02, 3.0560713873e+00, 5.0022899365e+00
3.1664640000e-02, 3.0587071007e+00, 5.0022899365e+00
3.1997952000e-02, 3.0616459111e+00, 5.0022899365e+00
3.2331264000e-02, 3.0641022286e+00, 5.0022899365e+00
3.2664576000e-02, 3.0609781596e+00, 5.0022899365e+00
3.2997888000e-02, 3.0561005831e+00, 5.0022899365e+00
3.3331200000e-02, 3.0557909199e+00, 5.0022899365e+00
3.3664512000e-02, 3.0557507024e+00, 5.0022899365e+00
3.3997824000e-02, 3.0556102342e+00, 5.0022899365e+00
3.4331136000e-02, 3.0550960831e+00, 5.0022899365e+00
3.4664448000e-02, 3.0561235646e+00, 5.0022899365e+00
3.4997760000e-02, 3.0557951410e+00, 5.0022899365e+00
3.5331072000e-02, 3.0556485757e+00, 5.0022899365e+00
3.5664384000e-02, 3.0555044727e+00, 5.0022899365e+00
3.5997696000e-02, 3.0554364664e+00, 5.0022899365e+00
3.6331008000e-02, 3.0554286105e+00, 5.0022899365e+00
3.6664320000e-02, 3.0551476741e+00, 5.0022899365e+00
3.6997632000e-02, 3.0548131534e+00, 5.0022899365e+00
3.7330944000e-02, 3.0545917811e+00, 5.0022899365e+00
3.7664256000e-02, 3.0544312628e+00, 5.0022899365e+00
3.7997568000e-02, 3.0539273126e+00, 5.0022899365e+00
3.8330880000e-02, 3.0537215349e+00, 5.0022899365e+00
3.8664192000e-02, 3.0532780869e+00, 5.0022899365e+00
3.8997504000e-02, 3.0530180214e+00, 5.0022899365e+00
3.9330816000e-02, 3.0516691515e+00, 5.0022899365e+00
3.9664128000e-02, 3.0502047881e+00, 5.0022899365e+00
3.9997440000e-02, 3.0474712863e+00, 5.0022899365e+00
4.0330752000e-02, 3.0441890440e+00, 5.0022899365e+00
4.0664064000e-02, 3.0425665074e+00, 5.0022899365e+00
4.0997376000e-02, 3.0464999687e+00, 5.0022899365e+00
4.1330688000e-02, 3.0524243732e+00, 5.0022899365e+00
4.1664000000e-02, 3.0530319744e+00, 5.0022899365e+00
4.1997312000e-02, 3.0536582187e+00, 5.0022899365e+00
4.2330624000e-02, 3.0540127895e+00, 5.0022899365e+00
4.2663936000e-02, 3.0547212276e+00, 5.0022899365e+00
4.2997248000e-02, 3.0545078285e+00, 5.0022899365e+00
4.3330560000e-02, 3.0545521499e+00, 5.0022899365e+00
4.3663872000e-02, 3.0545813457e+00, 5.0022899365e+00
4.3997184000e-02, 3.0542730895e+00, 5.0022899365e+00
4.4330496000e-02, 3.0543728712e+00, 5.0022899365e+00
4.4663808000e-02, 3.0544854333e+00, 5.0022899365e+00
4.4997120000e-02, 3.0539057382e+00, 5.0022899365e+00
4.5330432000e-02, 3.0534620557e+00, 5.0022899365e+00
4.5663744000e-02, 3.0544562375e+00, 5.0022899365e+00
4.5997056000e-02, 3.0534437643e+00, 5.0022899365e+00
4.6330368000e-02, 3.0531676353e+00, 5.0022899365e+00
4.6663680000e-02, 3.0530707849e+00, 5.0022899365e+00
4.6996992000e-02, 3.0529827285e+00, 5.0022899365e+00
4.7330304000e-02, 3.0532873498e+00, 5.0022899365e+00
4.7663616000e-02, 3.0544147302e+00, 5.0022899365e+00
4.7996928000e-02, 3.0560981208e+00, 5.0022899365e+00
4.8330240000e-02, 3.0585250079e+00, 5.0022899365e+00
4.8663552000e-02, 3.0620775167e+00, 5.0022899365e+00
4.8996864000e-02, 3.0647389083e+00, 5.0022899365e+00
4.9330176000e-02, 3.0607837553e+00, 5.0022899365e+00
4.9663488000e-02, 3.0561622578e+00, 5.0022899365e+00
4.9996800000e-02, 3.0558724102e+00, 5.0022899365e+00
5.0330112000e-02, 3.0561518223e+00, 5.0022899365e+00
5.0663424000e-02, 3.0556418923e+00, 5.0022899365e+00
5.0996736000e-02, 3.0552281091e+00, 5.0022899365e+00
5.1330048000e-02, 3.0556991114e+00, 5.0022899365e+00
5.1663360000e-02, 3.0559276360e+00, 5.0022899365e+00
5.1996672000e-02, 3.0565123730e+00, 5.0022899365e+00
5.2329984000e-02, 3.0559481552e+00, 5.0022899365e+00
5.2663296000e-02, 3.0557670005e+00, 5.0022899365e+00
5.2996608000e-02, 3.0556842204e+00, 5.0022899365e+00
5.3329920000e-02, 3.0558271509e+00, 5.0022899365e+00
5.3663232000e-02, 3.0556114067e+00, 5.0022899365e+00
5.3996544000e-02, 3.0550503547e+00, 5.0022899365e+00
5.4329856000e-02, 3.0545922501e+00, 5.0022899365e+00
5.4663168000e-02, 3.0548261684e+00, 5.0022899365e+00
5.4996480000e-02, 3.0539077315e+00, 5.0022899365e+00
5.5329792000e-02, 3.0537166103e+00, 5.0022899365e+00
5.5663104000e-02, 3.0530936491e+00, 5.0022899365e+00
5.5996416000e-02, 3.0521374570e+00, 5.0022899365e+00
5.6329728000e-02, 3.0506923230e+00, 5.0022899365e+00
5.6663040000e-02, 3.0474368142e+00, 5.0022899365e+00
5.6996352000e-02, 3.0449052208e+00, 5.0022899365e+00
5.7329664000e-02, 3.0428249313e+00, 5.0022899365e+00
5.7662976000e-02, 3.0471595126e+00, 5.0022899365e+00
5.7996288000e-02, 3.0525155955e+00, 5.0022899365e+00
5.8329600000e-02, 3.0531890924e+00, 5.0022899365e+00
5.8662912000e-02, 3.0536351200e+00, 5.0022899365e+00
5.8996224000e-02, 3.0543721677e+00, 5.0022899365e+00
5.9329536000e-02, 3.0550643077e+00, 5.0022899365e+00
5.9662848000e-02, 3.0544590516e+00, 5.0022899365e+00
5.9996160000e-02, 3.0542640611e+00, 5.0022899365e+00
6.0329472000e-02, 3.0537991559e+00, 5.0022899365e+00
6.0662784000e-02, 3.0538016182e+00, 5.0022899365e+00
6.0996096000e-02, 3.0534864441e+00, 5.0022899365e+00
6.1329408000e-02, 3.0532818390e+00, 5.0022899365e+00
6.1662720000e-02, 3.0528925615e+00, 5.0022899365e+00
6.1996032000e-02, 3.0529882393e+00, 5.0022899365e+00
6.2329344000e-02, 3.0531127612e+00, 5.0022899365e+00
6.2662656000e-02, 3.0531634142e+00, 5.0022899365e+00
6.2995968000e-02, 3.0529833147e+00, 5.0022899365e+00
6.3329280000e-02, 3.0528881059e+00, 5.0022899365e+00
6.3662592000e-02, 3.0529651406e+00, 5.0022899365e+00
6.3995904000e-02, 3.0545188502e+00, 5.0022899365e+00
6.4329216000e-02, 3.0545899051e+00, 5.0022899365e+00
6.4662528000e-02, 3.0556639357e+00, 5.0022899365e+00
6.4995840000e-02, 3.0583921611e+00, 5.0022899365e+00
6.5329152000e-02, 3.0621880856e+00, 5.0022899365e+00
6.5662464000e-02, 3.0643675704e+00, 5.0022899365e+00
6.5995776000e-02, 3.0613494974e+00, 5.0022899365e+00
6.6329088000e-02, 3.0564678172e+00, 5.0022899365e+00
6.6662400000e-02, 3.0562559423e+00, 5.0022899365e+00
6.6995712000e-02, 3.0559421753e+00, 5.0022899365e+00
6.7329024000e-02, 3.0556117585e+00, 5.0022899365e+00
6.7662336000e-02, 3.0556088272e+00, 5.0022899365e+00
6.7995648000e-02, 3.0559435823e+00, 5.0022899365e+00
6.8328960000e-02, 3.0559272843e+00, 5.0022899365e+00
6.8662272000e-02, 3.0558760450e+00, 5.0022899365e+00
6.8995584000e-02, 3.0556961801e+00, 5.0022899365e+00
6.9328896000e-02, 3.0552752445e+00, 5.0022899365e+00
6.9662208000e-02, 3.0553562658e+00, 5.0022899365e+00
6.9995520000e-02, 3.0551897676e+00, 5.0022899365e+00
7.0328832000e-02, 3.0553153448e+00, 5.0022899365e+00
7.0662144000e-02, 3.0548783456e+00, 5.0022899365e+00
7.0995456000e-02, 3.0543004093e+00, 5.0022899365e+00
7.1328768000e-02, 3.0542338100e+00, 5.0022899365e+00
7.1662080000e-02, 3.0542347480e+00, 5.0022899365e+00
7.1995392000e-02, 3.0547324838e+00, 5.0022899365e+00
7.2328704000e-02, 3.0537243490e+00, 5.0022899365e+00
7.2662016000e-02, 3.0520742580e+00, 5.0022899365e+00
7.2995328000e-02, 3.0510547497e+00, 5.0022899365e+00
7.3328640000e-02, 3.0481241469e+00, 5.0022899365e+00
7.3661952000e-02, 3.0450582350e+00, 5.0022899365e+00
7.3995264000e-02, 3.0428076952e+00, 5.0022899365e+00
7.4328576000e-02, 3.0464480259e+00, 5.0022899365e+00
7.4661888000e-02, 3.0521763847e+00, 5.0022899365e+00
7.4995200000e-02, 3.0533239325e+00, 5.0022899365e+00
7.5328512000e-02, 3.0532751556e+00, 5.0022899365e+00
7.5661824000e-02, 3.0532082045e+00, 5.0022899365e+00
7.5995136000e-02, 3.0539286024e+00, 5.0022899365e+00
7.6328448000e-02, 3.0532233301e+00, 5.0022899365e+00
7.6661760000e-02, 3.0531503992e+00, 5.0022899365e+00
7.6995072000e-02, 3.0529059282e+00, 5.0022899365e+00
7.7328384000e-02, 3.0527943041e+00, 5.0022899365e+00
7.7661696000e-02, 3.0528680558e+00, 5.0022899365e+00
7.7995008000e-02, 3.0525976721e+00, 5.0022899365e+00
7.8328320000e-02, 3.0525481916e+00, 5.0022899365e+00
7.8661632000e-02, 3.0527050751e+00, 5.0022899365e+00
7.8994944000e-02, 3.0530921248e+00, 5.0022899365e+00
7.9328256000e-02, 3.0533276846e+00, 5.0022899365e+00
7.9661568000e-02, 3.0531903822e+00, 5.0022899365e+00
7.9994880000e-02, 3.0531018568e+00, 5.0022899365e+00
8.0328192000e-02, 3.0528834158e+00, 5.0022899365e+00
8.0661504000e-02, 3.0531930790e+00, 5.0022899365e+00
8.0994816000e-02, 3.0544875439e+00, 5.0022899365e+00
8.1328128000e-02, 3.0561445527e+00, 5.0022899365e+00
8.1661440000e-02, 3.0586620758e+00, 5.0022899365e+00
8.1994752000e-02, 3.0624105131e+00, 5.0022899365e+00
8.2328064000e-02, 3.0645878874e+00, 5.0022899365e+00
8.2661376000e-02, 3.0615359285e+00, 5.0022899365e+00
8.2994688000e-02, 3.0569962731e+00, 5.0022899365e+00
8.3328000000e-02, 3.0563413020e+00, 5.0022899365e+00
8.3661312000e-02, 3.0564074323e+00, 5.0022899365e+00
8.3994624000e-02, 3.0562200632e+00, 5.0022899365e+00
8.4327936000e-02, 3.0558069835e+00, 5.0022899365e+00
8.4661248000e-02, 3.0560356254e+00, 5.0022899365e+00
8.4994560000e-02, 3.0562594599e+00, 5.0022899365e+00
8.5327872000e-02, 3.0560935480e+00, 5.0022899365e+00
8.5661184000e-02, 3.0563880856e+00, 5.0022899365e+00
8.5994496000e-02, 3.0562654398e+00, 5.0022899365e+00
8.6327808000e-02, 3.0560860438e+00, 5.0022899365e+00
8.6661120000e-02, 3.0555952259e+00, 5.0022899365e+00
8.6994432000e-02, 3.0553360984e+00, 5.0022899365e+00
8.7327744000e-02, 3.0550186966e+00, 5.0022899365e+00
8.7661056000e-02, 3.0550719291e+00, 5.0022899365e+00
8.7994368000e-02, 3.0548693172e+00, 5.0022899365e+00
8.8327680000e-02, 3.0545476943e+00, 5.0022899365e+00
8.8660992000e-02, 3.0541579478e+00, 5.0022899365e+00
8.8994304000e-02, 3.0536962084e+00, 5.0022899365e+00
8.9327616000e-02, 3.0529475528e+00, 5.0022899365e+00
8.9660928000e-02, 3.0507304299e+00, 5.0022899365e+00
8.9994240000e-02, 3.0480053703e+00, 5.0022899365e+00
9.0327552000e-02, 3.0442870669e+00, 5.0022899365e+00
9.0660864000e-02, 3.0429758350e+00, 5.0022899365e+00
9.0994176000e-02, 3.0459452483e+00, 5.0022899365e+00
9.1327488000e-02, 3.0515771085e+00, 5.0022899365e+00
9.1660800000e-02, 3.0525165335e+00, 5.0022899365e+00
9.1994112000e-02, 3.0524684601e+00, 5.0022899365e+00
9.2327424000e-02, 3.0529518911e+00, 5.0022899365e+00
9.2660736000e-02, 3.0535259581e+00, 5.0022899365e+00
9.2994048000e-02, 3.0531860439e+00, 5.0022899365e+00
9.3327360000e-02, 3.0530612875e+00, 5.0022899365e+00
9.3660672000e-02, 3.0533582874e+00, 5.0022899365e+00
9.3993984000e-02, 3.0533861935e+00, 5.0022899365e+00
9.4327296000e-02, 3.0529627956e+00, 5.0022899365e+00
9.4660608000e-02, 3.0529794454e+00, 5.0022899365e+00
9.4993920000e-02, 3.0529589263e+00, 5.0022899365e+00
9.5327232000e-02, 3.0535086048e+00, 5.0022899365e+00
9.5660544000e-02, 3.0534095267e+00, 5.0022899365e+00
9.5993856000e-02, 3.0538521539e+00, 5.0022899365e+00
9.6327168000e-02, 3.0541178475e+00, 5.0022899365e+00
9.6660480000e-02, 3.0543031061e+00, 5.0022899365e+00
9.6993792000e-02, 3.0540139620e+00, 5.0022899365e+00
9.7327104000e-02, 3.0543820168e+00, 5.0022899365e+00
9.7660416000e-02, 3.0553716259e+00, 5.0022899365e+00
9.7993728000e-02, 3.0567030252e+00, 5.0022899365e+00
9.8327040000e-02, 3.0591842001e+00, 5.0022899365e+00
9.8660352000e-02, 3.0625928403e+00, 5.0022899365e+00
9.8993664000e-02, 3.0650288731e+00, 5.0022899365e+00
9.9326976000e-02, 3.0620470311e+00, 5.0022899365e+00
9.9660288000e-02, 3.0571868080e+00, 5.0022899365e+00
9.9993600000e-02, 3.0567968270e+00, 5.0022899365e+00
1.0032691200e-01, 3.0564722728e+00, 5.0022899365e+00
1.0066022400e-01, 3.0562263948e+00, 5.0022899365e+00
1.0099353600e-01, 3.0557601998e+00, 5.0022899365e+00
1.0132684800e-01, 3.0560800640e+00, 5.0022899365e+00
1.0166016000e-01, 3.0564212680e+00, 5.0022899365e+00
1.0199347200e-01, 3.0562194769e+00, 5.0022899365e+00
1.0232678400e-01, 3.0564152882e+00, 5.0022899365e+00
1.0266009600e-01, 3.0565180011e+00, 5.0022899365e+00
1.0299340800e-01, 3.0563373154e+00, 5.0022899365e+00
1.0332672000e-01, 3.0562770477e+00, 5.0022899365e+00
1.0366003200e-01, 3.0552431174e+00, 5.0022899365e+00
1.0399334400e-01, 3.0550446093e+00, 5.0022899365e+00
1.0432665600e-01, 3.0545053662e+00, 5.0022899365e+00
1.0465996800e-01, 3.0544642107e+00, 5.0022899365e+00
