% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = -1, 2-2 = 1
% Controller 1: PI controller: proportional gain +17.1 dB, integrator crossover 482.9 Hz, input offset 0.000 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.1 Hz, integrator saturation +40.2 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-05-22 T 17:35:30 -0700
% Time (s), Probe A (V), Probe B (V)
0.0000000000e+00, 2.9995502907e+00, 4.6573638260e-01
3.3331200000e-04, 2.9992651332e+00, 4.6014679185e-01
6.6662400000e-04, 2.9992468419e+00, 4.5843080513e-01
9.9993600000e-04, 2.9993949315e+00, 4.5915624482e-01
1.3332480000e-03, 2.9997298039e+00, 4.6034852435e-01
1.6665600000e-03, 2.9996147794e+00, 4.5956803473e-01
1.9998720000e-03, 2.9993773436e+00, 4.5621039922e-01
2.3331840000e-03, 2.9997468055e+00, 4.5765910943e-01
2.6664960000e-03, 2.9997043602e+00, 4.5758858220e-01
2.9998080000e-03, 2.9997628690e+00, 4.5913162184e-01
3.3331200000e-03, 3.0000951619e+00, 4.6187749372e-01
3.6664320000e-03, 2.9996151312e+00, 4.5994429721e-01
3.9997440000e-03, 2.9992955016e+00, 4.5745280409e-01
4.3330560000e-03, 2.9996194695e+00, 4.5867902815e-01
4.6663680000e-03, 2.9996986148e+00, 4.5746382580e-01
4.9996800000e-03, 2.9997417636e+00, 4.5933487862e-01
5.3329920000e-03, 2.9997822157e+00, 4.5903975470e-01
5.6663040000e-03, 2.9999824825e+00, 4.6235535528e-01
5.9996160000e-03, 3.0000853127e+00, 4.6598360898e-01
6.3329280000e-03, 3.0003705875e+00, 4.7172152384e-01
6.6662400000e-03, 3.0001367865e+00, 4.7523668774e-01
6.9995520000e-03, 2.9993000744e+00, 4.6999439816e-01
7.3328640000e-03, 2.9977775539e+00, 4.5215663710e-01
7.6661760000e-03, 2.9978992617e+00, 4.3362497721e-01
7.9994880000e-03, 3.0000312595e+00, 4.4634954341e-01
8.3328000000e-03, 3.0002579081e+00, 4.4957421486e-01
8.6661120000e-03, 3.0002223806e+00, 4.5744453781e-01
8.9994240000e-03, 2.9997188994e+00, 4.5609132956e-01
9.3327360000e-03, 2.9998721481e+00, 4.5738708420e-01
9.6660480000e-03, 3.0000207067e+00, 4.6135413829e-01
9.9993600000e-03, 2.9996027025e+00, 4.5976150095e-01
1.0332672000e-02, 2.9998183294e+00, 4.6215274338e-01
1.0665984000e-02, 2.9994927199e+00, 4.5826137563e-01
1.0999296000e-02, 2.9995400898e+00, 4.5656045582e-01
1.1332608000e-02, 2.9995321166e+00, 4.5532754839e-01
1.1665920000e-02, 2.9998906740e+00, 4.5847424709e-01
1.1999232000e-02, 2.9995407933e+00, 4.5532760701e-01
1.2332544000e-02, 2.9999190490e+00, 4.5854360180e-01
1.2665856000e-02, 2.9994809946e+00, 4.5528510307e-01
1.2999168000e-02, 2.9997865540e+00, 4.5814031268e-01
1.3332480000e-02, 2.9996446788e+00, 4.5778890767e-01
1.3665792000e-02, 2.9996515967e+00, 4.5759503107e-01
1.3999104000e-02, 2.9993992698e+00, 4.5337289471e-01
1.4332416000e-02, 2.9986920042e+00, 4.4538719555e-01
1.4665728000e-02, 2.9987203793e+00, 4.3920407389e-01
1.4999040000e-02, 2.9990887858e+00, 4.3748245906e-01
1.5332352000e-02, 2.9990641629e+00, 4.2964133193e-01
1.5665664000e-02, 3.0025426854e+00, 4.6228746622e-01
1.5998976000e-02, 3.0014136635e+00, 4.7344096949e-01
1.6332288000e-02, 2.9998063696e+00, 4.6780066714e-01
1.6665600000e-02, 2.9994440602e+00, 4.6719335910e-01
1.6998912000e-02, 2.9993551830e+00, 4.6353186438e-01
1.7332224000e-02, 2.9993583488e+00, 4.5988215351e-01
1.7665536000e-02, 2.9993433405e+00, 4.5777155434e-01
1.7998848000e-02, 2.9994369078e+00, 4.5693871159e-01
1.8332160000e-02, 2.9998537395e+00, 4.5991838446e-01
1.8665472000e-02, 2.9995793693e+00, 4.5916902531e-01
1.8998784000e-02, 2.9997139749e+00, 4.6032466351e-01
1.9332096000e-02, 2.9995781967e+00, 4.5846404614e-01
1.9665408000e-02, 2.9996909934e+00, 4.5898974662e-01
1.9998720000e-02, 2.9996479618e+00, 4.5865833313e-01
2.0332032000e-02, 2.9997146784e+00, 4.5967356176e-01
2.0665344000e-02, 2.9996116136e+00, 4.5862556112e-01
2.0998656000e-02, 2.9993352501e+00, 4.5525309321e-01
2.1331968000e-02, 2.9996764541e+00, 4.5681143427e-01
2.1665280000e-02, 2.9998227849e+00, 4.5829274060e-01
2.1998592000e-02, 3.0001653960e+00, 4.6299115562e-01
2.2331904000e-02, 2.9998905567e+00, 4.6126397131e-01
2.2665216000e-02, 2.9999245599e+00, 4.6272352735e-01
2.2998528000e-02, 3.0002362164e+00, 4.7012765534e-01
2.3331840000e-02, 2.9998885635e+00, 4.7132984269e-01
2.3665152000e-02, 2.9998267715e+00, 4.7402676175e-01
2.3998464000e-02, 2.9977373364e+00, 4.5149562752e-01
2.4331776000e-02, 2.9967839583e+00, 4.2156581754e-01
2.4665088000e-02, 3.0001099357e+00, 4.3990647351e-01
2.4998400000e-02, 3.0004727142e+00, 4.4898144610e-01
2.5331712000e-02, 3.0006295977e+00, 4.5870605479e-01
2.5665024000e-02, 3.0002878074e+00, 4.6127440676e-01
2.5998336000e-02, 2.9997747115e+00, 4.5999055322e-01
2.6331648000e-02, 2.9997655658e+00, 4.6094879725e-01
2.6664960000e-02, 2.9996350641e+00, 4.6015898608e-01
2.6998272000e-02, 2.9993311463e+00, 4.5800512083e-01
2.7331584000e-02, 2.9998551466e+00, 4.5971571394e-01
2.7664896000e-02, 2.9996030542e+00, 4.5750861616e-01
