% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 0.5, 1-2 = 0, 2-1 = 0, 2-2 = 0
% Controller 1: PI controller: proportional gain +10.0 dB, integrator crossover 3.000 kHz, input offset -1.499 8 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.1 Hz, integrator saturation +40.2 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-06-02 T 20:24:54 -0700
% Time (s), Probe A (V), Probe B (V)
0.0000000000e+00, 5.0022899365e+00, 3.1117978654e+00
3.3331200000e-04, 5.0022899365e+00, 3.1118166257e+00
6.6662400000e-04, 5.0022899365e+00, 3.1118578985e+00
9.9993600000e-04, 5.0022899365e+00, 3.1118560225e+00
1.3332480000e-03, 5.0022899365e+00, 3.1117734769e+00
1.6665600000e-03, 5.0022899365e+00, 3.1117078156e+00
1.9998720000e-03, 5.0022899365e+00, 3.1117171958e+00
2.3331840000e-03, 5.0022899365e+00, 3.1117115677e+00
2.6664960000e-03, 5.0022899365e+00, 3.1115483526e+00
2.9998080000e-03, 5.0022899365e+00, 3.1113063439e+00
3.3331200000e-03, 5.0022899365e+00, 3.1109911699e+00
3.6664320000e-03, 5.0022899365e+00, 3.1106835000e+00
3.9997440000e-03, 5.0022899365e+00, 3.1104471194e+00
4.3330560000e-03, 5.0022899365e+00, 3.1102914084e+00
4.6663680000e-03, 5.0022899365e+00, 3.1101863504e+00
4.9996800000e-03, 5.0022899365e+00, 3.1097698704e+00
5.3329920000e-03, 5.0022899365e+00, 3.1089763072e+00
5.6663040000e-03, 5.0022899365e+00, 3.1078957104e+00
5.9996160000e-03, 5.0022899365e+00, 3.1070383619e+00
6.3329280000e-03, 5.0022899365e+00, 3.1067832210e+00
6.6662400000e-03, 5.0022899365e+00, 3.1066256340e+00
6.9995520000e-03, 5.0022899365e+00, 3.1088187201e+00
7.3328640000e-03, 5.0022899365e+00, 3.1102482596e+00
7.6661760000e-03, 5.0022899365e+00, 3.1110718394e+00
7.9994880000e-03, 5.0022899365e+00, 3.1112688232e+00
8.3328000000e-03, 5.0022899365e+00, 3.1116965594e+00
8.6661120000e-03, 5.0022899365e+00, 3.1115502286e+00
8.9994240000e-03, 5.0022899365e+00, 3.1117115677e+00
9.3327360000e-03, 5.0022899365e+00, 3.1116646668e+00
9.6660480000e-03, 5.0022899365e+00, 3.1115277162e+00
9.9993600000e-03, 5.0022899365e+00, 3.1116102618e+00
1.0332672000e-02, 5.0022899365e+00, 3.1113663771e+00
1.0665984000e-02, 5.0022899365e+00, 3.1116027576e+00
1.0999296000e-02, 5.0022899365e+00, 3.1114526747e+00
1.1332608000e-02, 5.0022899365e+00, 3.1109930459e+00
1.1665920000e-02, 5.0022899365e+00, 3.1103533176e+00
1.1999232000e-02, 5.0022899365e+00, 3.1099030690e+00
1.2332544000e-02, 5.0022899365e+00, 3.1095541263e+00
1.2665856000e-02, 5.0022899365e+00, 3.1092839771e+00
1.2999168000e-02, 5.0022899365e+00, 3.1086611331e+00
1.3332480000e-02, 5.0022899365e+00, 3.1085879677e+00
1.3665792000e-02, 5.0022899365e+00, 3.1090719850e+00
1.3999104000e-02, 5.0022899365e+00, 3.1101525818e+00
1.4332416000e-02, 5.0022899365e+00, 3.1112050380e+00
1.4665728000e-02, 5.0022899365e+00, 3.1119160556e+00
1.4999040000e-02, 5.0022899365e+00, 3.1123756845e+00
1.5332352000e-02, 5.0022899365e+00, 3.1116552866e+00
1.5665664000e-02, 5.0022899365e+00, 3.1115596088e+00
1.5998976000e-02, 5.0022899365e+00, 3.1117603447e+00
1.6332288000e-02, 5.0022899365e+00, 3.1118034935e+00
1.6665600000e-02, 5.0022899365e+00, 3.1118428902e+00
1.6998912000e-02, 5.0022899365e+00, 3.1118578985e+00
1.7332224000e-02, 5.0022899365e+00, 3.1119010474e+00
1.7665536000e-02, 5.0022899365e+00, 3.1119254358e+00
1.7998848000e-02, 5.0022899365e+00, 3.1118916672e+00
1.8332160000e-02, 5.0022899365e+00, 3.1118578985e+00
1.8665472000e-02, 5.0022899365e+00, 3.1118128737e+00
1.8998784000e-02, 5.0022899365e+00, 3.1116665428e+00
1.9332096000e-02, 5.0022899365e+00, 3.1117096917e+00
1.9665408000e-02, 5.0022899365e+00, 3.1114770632e+00
1.9998720000e-02, 5.0022899365e+00, 3.1112069140e+00
2.0332032000e-02, 5.0022899365e+00, 3.1110305666e+00
2.0665344000e-02, 5.0022899365e+00, 3.1107622935e+00
2.0998656000e-02, 5.0022899365e+00, 3.1107360290e+00
2.1331968000e-02, 5.0022899365e+00, 3.1104302351e+00
2.1665280000e-02, 5.0022899365e+00, 3.1103101688e+00
2.1998592000e-02, 5.0022899365e+00, 3.1092352001e+00
2.2331904000e-02, 5.0022899365e+00, 3.1079613717e+00
2.2665216000e-02, 5.0022899365e+00, 3.1071959490e+00
2.2998528000e-02, 5.0022899365e+00, 3.1068864030e+00
2.3331840000e-02, 5.0022899365e+00, 3.1068413782e+00
2.3665152000e-02, 5.0022899365e+00, 3.1092689688e+00
2.3998464000e-02, 5.0022899365e+00, 3.1108054423e+00
2.4331776000e-02, 5.0022899365e+00, 3.1111093601e+00
2.4665088000e-02, 5.0022899365e+00, 3.1112369306e+00
2.4998400000e-02, 5.0022899365e+00, 3.1114601789e+00
2.5331712000e-02, 5.0022899365e+00, 3.1116571627e+00
2.5665024000e-02, 5.0022899365e+00, 3.1117322041e+00
2.5998336000e-02, 5.0022899365e+00, 3.1116065097e+00
2.6331648000e-02, 5.0022899365e+00, 3.1113401126e+00
2.6664960000e-02, 5.0022899365e+00, 3.1106910041e+00
2.6998272000e-02, 5.0022899365e+00, 3.1105071526e+00
2.7331584000e-02, 5.0022899365e+00, 3.1100944246e+00
2.7664896000e-02, 5.0022899365e+00, 3.1096985810e+00
2.7998208000e-02, 5.0022899365e+00, 3.1095991511e+00
2.8331520000e-02, 5.0022899365e+00, 3.1093965392e+00
2.8664832000e-02, 5.0022899365e+00, 3.1091789191e+00
2.8998144000e-02, 5.0022899365e+00, 3.1085598272e+00
2.9331456000e-02, 5.0022899365e+00, 3.1085279346e+00
2.9664768000e-02, 5.0022899365e+00, 3.1083140664e+00
2.9998080000e-02, 5.0022899365e+00, 3.1088168441e+00
3.0331392000e-02, 5.0022899365e+00, 3.1093008614e+00
3.0664704000e-02, 5.0022899365e+00, 3.1104077227e+00
3.0998016000e-02, 5.0022899365e+00, 3.1114264102e+00
3.1331328000e-02, 5.0022899365e+00, 3.1120511302e+00
3.1664640000e-02, 5.0022899365e+00, 3.1124788665e+00
3.1997952000e-02, 5.0022899365e+00, 3.1118147497e+00
3.2331264000e-02, 5.0022899365e+00, 3.1116759230e+00
3.2664576000e-02, 5.0022899365e+00, 3.1118372621e+00
3.2997888000e-02, 5.0022899365e+00, 3.1119010474e+00
3.3331200000e-02, 5.0022899365e+00, 3.1118654027e+00
3.3664512000e-02, 5.0022899365e+00, 3.1119085515e+00
3.3997824000e-02, 5.0022899365e+00, 3.1119348160e+00
3.4331136000e-02, 5.0022899365e+00, 3.1119479483e+00
3.4664448000e-02, 5.0022899365e+00, 3.1119517003e+00
3.4997760000e-02, 5.0022899365e+00, 3.1118729068e+00
3.5331072000e-02, 5.0022899365e+00, 3.1118597746e+00
3.5664384000e-02, 5.0022899365e+00, 3.1118203778e+00
3.5997696000e-02, 5.0022899365e+00, 3.1117697248e+00
3.6331008000e-02, 5.0022899365e+00, 3.1117284520e+00
3.6664320000e-02, 5.0022899365e+00, 3.1115858733e+00
3.6997632000e-02, 5.0022899365e+00, 3.1112744513e+00
3.7330944000e-02, 5.0022899365e+00, 3.1109855418e+00
3.7664256000e-02, 5.0022899365e+00, 3.1109836657e+00
3.7997568000e-02, 5.0022899365e+00, 3.1107153926e+00
3.8330880000e-02, 5.0022899365e+00, 3.1102013587e+00
3.8664192000e-02, 5.0022899365e+00, 3.1092051836e+00
3.8997504000e-02, 5.0022899365e+00, 3.1084510171e+00
3.9330816000e-02, 5.0022899365e+00, 3.1074492138e+00
3.9664128000e-02, 5.0022899365e+00, 3.1070214776e+00
3.9997440000e-02, 5.0022899365e+00, 3.1069877090e+00
4.0330752000e-02, 5.0022899365e+00, 3.1098017630e+00
4.0664064000e-02, 5.0022899365e+00, 3.1112369306e+00
4.0997376000e-02, 5.0022899365e+00, 3.1116046337e+00
4.1330688000e-02, 5.0022899365e+00, 3.1115258401e+00
4.1664000000e-02, 5.0022899365e+00, 3.1110399468e+00
4.1997312000e-02, 5.0022899365e+00, 3.1107622935e+00
4.2330624000e-02, 5.0022899365e+00, 3.1104846401e+00
4.2663936000e-02, 5.0022899365e+00, 3.1100400196e+00
4.2997248000e-02, 5.0022899365e+00, 3.1099349616e+00
4.3330560000e-02, 5.0022899365e+00, 3.1094434401e+00
4.3663872000e-02, 5.0022899365e+00, 3.1096066553e+00
4.3997184000e-02, 5.0022899365e+00, 3.1093909111e+00
4.4330496000e-02, 5.0022899365e+00, 3.1092014315e+00
4.4663808000e-02, 5.0022899365e+00, 3.1086911497e+00
4.4997120000e-02, 5.0022899365e+00, 3.1089894394e+00
4.5330432000e-02, 5.0022899365e+00, 3.1086536290e+00
4.5663744000e-02, 5.0022899365e+00, 3.1085485709e+00
4.5997056000e-02, 5.0022899365e+00, 3.1082315209e+00
4.6330368000e-02, 5.0022899365e+00, 3.1085579511e+00
4.6663680000e-02, 5.0022899365e+00, 3.1092445803e+00
4.6996992000e-02, 5.0022899365e+00, 3.1098261515e+00
4.7330304000e-02, 5.0022899365e+00, 3.1108016902e+00
4.7663616000e-02, 5.0022899365e+00, 3.1115614848e+00
4.7996928000e-02, 5.0022899365e+00, 3.1121824528e+00
4.8330240000e-02, 5.0022899365e+00, 3.1126814783e+00
4.8663552000e-02, 5.0022899365e+00, 3.1119329400e+00
4.8996864000e-02, 5.0022899365e+00, 3.1118597746e+00
4.9330176000e-02, 5.0022899365e+00, 3.1118860391e+00
4.9663488000e-02, 5.0022899365e+00, 3.1119066755e+00
4.9996800000e-02, 5.0022899365e+00, 3.1119498243e+00
5.0330112000e-02, 5.0022899365e+00, 3.1120586344e+00
5.0663424000e-02, 5.0022899365e+00, 3.1119873450e+00
5.0996736000e-02, 5.0022899365e+00, 3.1119854690e+00
5.1330048000e-02, 5.0022899365e+00, 3.1119179317e+00
5.1663360000e-02, 5.0022899365e+00, 3.1119723367e+00
5.1996672000e-02, 5.0022899365e+00, 3.1119404441e+00
5.2329984000e-02, 5.0022899365e+00, 3.1118785349e+00
5.2663296000e-02, 5.0022899365e+00, 3.1118353861e+00
5.2996608000e-02, 5.0022899365e+00, 3.1117209479e+00
5.3329920000e-02, 5.0022899365e+00, 3.1115708650e+00
5.3663232000e-02, 5.0022899365e+00, 3.1113551209e+00
5.3996544000e-02, 5.0022899365e+00, 3.1111937818e+00
5.4329856000e-02, 5.0022899365e+00, 3.1109348888e+00
5.4663168000e-02, 5.0022899365e+00, 3.1106516074e+00
5.4996480000e-02, 5.0022899365e+00, 3.1103139209e+00
5.5329792000e-02, 5.0022899365e+00, 3.1093852830e+00
5.5663104000e-02, 5.0022899365e+00, 3.1082427771e+00
5.5996416000e-02, 5.0022899365e+00, 3.1071434200e+00
5.6329728000e-02, 5.0022899365e+00, 3.1068545104e+00
5.6663040000e-02, 5.0022899365e+00, 3.1069483122e+00
5.6996352000e-02, 5.0022899365e+00, 3.1085804636e+00
5.7329664000e-02, 5.0022899365e+00, 3.1096741926e+00
5.7662976000e-02, 5.0022899365e+00, 3.1100231353e+00
5.7996288000e-02, 5.0022899365e+00, 3.1101244412e+00
5.8329600000e-02, 5.0022899365e+00, 3.1101019288e+00
5.8662912000e-02, 5.0022899365e+00, 3.1101769702e+00
5.8996224000e-02, 5.0022899365e+00, 3.1099480938e+00
5.9329536000e-02, 5.0022899365e+00, 3.1101131850e+00
5.9662848000e-02, 5.0022899365e+00, 3.1097604902e+00
5.9996160000e-02, 5.0022899365e+00, 3.1094997212e+00
6.0329472000e-02, 5.0022899365e+00, 3.1097060852e+00
6.0662784000e-02, 5.0022899365e+00, 3.1096835728e+00
6.0996096000e-02, 5.0022899365e+00, 3.1098205234e+00
6.1329408000e-02, 5.0022899365e+00, 3.1099011929e+00
6.1662720000e-02, 5.0022899365e+00, 3.1098130192e+00
6.1996032000e-02, 5.0022899365e+00, 3.1093102416e+00
6.2329344000e-02, 5.0022899365e+00, 3.1095785147e+00
6.2662656000e-02, 5.0022899365e+00, 3.1093290019e+00
6.2995968000e-02, 5.0022899365e+00, 3.1094678286e+00
6.3329280000e-02, 5.0022899365e+00, 3.1098411598e+00
