% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 0.5, 1-2 = 0, 2-1 = 0, 2-2 = 0
% Controller 1: PI controller: proportional gain +0.0 dB, integrator crossover 2.100 kHz, input offset -1.500 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.0 Hz, integrator saturation +40.0 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-06-02 T 20:03:43 -0700
% Time (s), Probe A (V), Probe B (V)
0.0000000000e+00, 5.0022899365e+00, 3.0261830846e+00
3.3333333333e-04, 5.0022899365e+00, 3.0261999689e+00
6.6666666667e-04, 5.0022899365e+00, 3.0264307214e+00
1.0000000000e-03, 5.0022899365e+00, 3.0261680763e+00
1.3333333333e-03, 5.0022899365e+00, 3.0261680763e+00
1.6666666667e-03, 5.0022899365e+00, 3.0254927033e+00
2.0000000000e-03, 5.0022899365e+00, 3.0252300583e+00
2.3333333333e-03, 5.0022899365e+00, 3.0247404129e+00
2.6666666667e-03, 5.0022899365e+00, 3.0248285866e+00
3.0000000000e-03, 5.0022899365e+00, 3.0244383711e+00
3.3333333333e-03, 5.0022899365e+00, 3.0242094947e+00
3.6666666667e-03, 5.0022899365e+00, 3.0241344533e+00
4.0000000000e-03, 5.0022899365e+00, 3.0240012547e+00
4.3333333333e-03, 5.0022899365e+00, 3.0239506017e+00
4.6666666667e-03, 5.0022899365e+00, 3.0238230313e+00
5.0000000000e-03, 5.0022899365e+00, 3.0237686262e+00
5.3333333333e-03, 5.0022899365e+00, 3.0237948907e+00
5.6666666667e-03, 5.0022899365e+00, 3.0238567999e+00
6.0000000000e-03, 5.0022899365e+00, 3.0239787423e+00
6.3333333333e-03, 5.0022899365e+00, 3.0245246687e+00
6.6666666667e-03, 5.0022899365e+00, 3.0261418118e+00
7.0000000000e-03, 5.0022899365e+00, 3.0268697138e+00
7.3333333333e-03, 5.0022899365e+00, 3.0247197765e+00
7.6666666667e-03, 5.0022899365e+00, 3.0244402471e+00
8.0000000000e-03, 5.0022899365e+00, 3.0242732799e+00
8.3333333333e-03, 5.0022899365e+00, 3.0242789080e+00
8.6666666667e-03, 5.0022899365e+00, 3.0244458752e+00
9.0000000000e-03, 5.0022899365e+00, 3.0242957924e+00
9.3333333333e-03, 5.0022899365e+00, 3.0244214868e+00
9.6666666667e-03, 5.0022899365e+00, 3.0245152886e+00
1.0000000000e-02, 5.0022899365e+00, 3.0245359250e+00
1.0333333333e-02, 5.0022899365e+00, 3.0246691235e+00
1.0666666667e-02, 5.0022899365e+00, 3.0244439992e+00
1.1000000000e-02, 5.0022899365e+00, 3.0244308669e+00
1.1333333333e-02, 5.0022899365e+00, 3.0245021563e+00
1.1666666667e-02, 5.0022899365e+00, 3.0243520734e+00
1.2000000000e-02, 5.0022899365e+00, 3.0242789080e+00
1.2333333333e-02, 5.0022899365e+00, 3.0241907343e+00
1.2666666667e-02, 5.0022899365e+00, 3.0243201808e+00
1.3000000000e-02, 5.0022899365e+00, 3.0244083545e+00
1.3333333333e-02, 5.0022899365e+00, 3.0244364951e+00
1.3666666667e-02, 5.0022899365e+00, 3.0240931805e+00
1.4000000000e-02, 5.0022899365e+00, 3.0238380396e+00
