% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 0.5, 1-2 = 0, 2-1 = 0, 2-2 = 0
% Controller 1: PI controller: proportional gain +11.0 dB, integrator crossover 3.000 kHz, input offset -1.500 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.0 Hz, integrator saturation +40.0 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-06-02 T 20:14:02 -0700
% Time (s), Probe A (V), Probe B (V)
0.0000000000e+00, 4.0497057860e-01, 3.0017233267e+00
3.3333333333e-04, 4.1044877971e-01, 3.0023386665e+00
6.6666666667e-04, 4.0821008246e-01, 3.0016933101e+00
1.0000000000e-03, 4.0951515865e-01, 3.0017645995e+00
1.3333333333e-03, 4.0387362515e-01, 3.0021904597e+00
1.6666666667e-03, 4.0491634943e-01, 3.0016726737e+00
2.0000000000e-03, 4.0268773586e-01, 3.0015826240e+00
2.3333333333e-03, 3.9627884499e-01, 3.0019803436e+00
2.6666666667e-03, 3.9596413995e-01, 3.0021529390e+00
3.0000000000e-03, 4.1234697643e-01, 3.0030403040e+00
3.3333333333e-03, 4.2079335970e-01, 3.0014419213e+00
3.6666666667e-03, 4.2017989591e-01, 3.0021942118e+00
4.0000000000e-03, 4.0859965306e-01, 3.0020778975e+00
4.3333333333e-03, 4.1085664167e-01, 3.0011079869e+00
4.6666666667e-03, 4.1431616939e-01, 3.0024305923e+00
5.0000000000e-03, 4.0813832408e-01, 3.0018884179e+00
5.3333333333e-03, 4.1198595674e-01, 3.0017964921e+00
5.6666666667e-03, 4.0905101561e-01, 3.0023386665e+00
6.0000000000e-03, 4.0453744877e-01, 3.0014119047e+00
6.3333333333e-03, 4.0770748067e-01, 3.0020216164e+00
6.6666666667e-03, 4.1036289244e-01, 3.0021529390e+00
7.0000000000e-03, 4.0595948409e-01, 3.0018621534e+00
7.3333333333e-03, 4.0612897222e-01, 3.0018715336e+00
7.6666666667e-03, 4.0893739818e-01, 3.0021754514e+00
8.0000000000e-03, 4.0863271820e-01, 3.0017833599e+00
8.3333333333e-03, 4.0280188093e-01, 3.0021585671e+00
8.6666666667e-03, 4.0715926777e-01, 3.0017533433e+00
9.0000000000e-03, 4.0562361502e-01, 3.0020685173e+00
9.3333333333e-03, 4.0616655157e-01, 3.0021266745e+00
9.6666666667e-03, 4.0892555570e-01, 3.0020666413e+00
1.0000000000e-02, 4.0948490757e-01, 3.0015751199e+00
1.0333333333e-02, 4.1150580877e-01, 3.0021848316e+00
1.0666666667e-02, 4.1898210552e-01, 3.0025225181e+00
1.1000000000e-02, 4.1448243308e-01, 3.0018846658e+00
